age,sex,bmi,children,smoker,region,pure_premium,gross_premium,monthly_premium,relativity
55,male,37.3,0,no,southwest,10795.988679157756,14034.785282905083,1169.5654402420903,1.7915578300825816
18,female,38.665,2,no,northeast,5577.897745241159,7251.267068813507,604.2722557344589,0.9256332771244055
28,female,34.77,0,no,northwest,5730.558729471099,7449.726348312428,620.8105290260356,0.9509668514521806
60,female,24.53,0,no,southeast,11470.368457155191,14911.47899430175,1242.6232495251459,1.9034688747887636
36,male,35.2,1,yes,southeast,30416.855178043596,39541.911731456676,3295.159310954723,5.047574305622856
18,female,35.625,0,no,northeast,4610.8297662374725,5994.078696108714,499.5065580090595,0.7651516147685539
21,female,33.63,2,no,northwest,5368.464895272309,6979.004363854002,581.5836969878335,0.8908786035702762
48,male,28.0,1,yes,southwest,37178.49860006955,48332.048180090416,4027.670681674201,6.169646176663576
36,male,34.43,0,yes,southeast,27948.026115742286,36332.433950464976,3027.7028292054147,4.637880467554992
40,female,28.69,3,no,northwest,9200.071357461438,11960.09276469987,996.6743970583225,1.5267207448632112
58,male,36.955,2,yes,northwest,66298.79210994305,86188.42974292598,7182.369145243832,11.002060455925948
58,female,31.825,2,no,northeast,15604.094972424067,20285.323464151286,1690.4436220126072,2.5894468177026218
18,male,31.68,2,yes,southeast,18785.068730614457,24420.589349798796,2035.049112483233,3.1173186609526287
53,female,22.88,1,yes,southeast,43989.488615811526,57186.33520055498,4765.527933379582,7.29990694813641
34,female,37.335,2,no,northwest,8152.114820510611,10597.749266663795,883.145772221983,1.352815899725216
43,male,27.36,3,no,northeast,9703.596597575035,12614.675576847547,1051.2229647372956,1.6102790565082827
25,male,33.66,4,no,southeast,6140.910853174393,7983.1841091267115,665.265342427226,1.019063399360844
64,male,24.7,1,no,northwest,13821.633548963035,17968.123613651947,1497.3436344709955,2.2936533693279717
28,female,25.935,1,no,northwest,5448.44802033684,7082.982426437892,590.248535536491,0.9041515328259795
20,female,22.42,0,yes,northwest,17073.329281120346,22195.32806545645,1849.610672121371,2.833261285112395
19,female,28.9,0,no,southwest,3716.25263589585,4831.128426664605,402.59403555538375,0.6166995637238529
61,female,39.1,2,no,southwest,16200.704724294865,21060.916141583326,1755.0763451319438,2.688452189441409
40,male,26.315,1,no,northwest,7199.304812051704,9359.096255667217,779.9246879722681,1.1947002993882974
40,female,36.19,0,no,southeast,7700.881058838033,10011.145376489443,834.2621147074536,1.2779351821784473
28,male,23.98,3,yes,southeast,24041.625145755585,31254.11268948226,2604.5093907901883,3.989626430503903
27,female,24.75,0,yes,southeast,20190.71572478459,26247.930442219968,2187.327536851664,3.3505810284465163
31,male,28.5,5,no,northeast,8155.427735867958,10602.056056628346,883.5046713856955,1.3533656668308738
53,female,28.1,3,no,southwest,11930.790735872008,15510.02795663361,1292.5023297194675,1.9798743956811706
58,male,32.01,1,no,southeast,12162.94528150523,15811.828865956799,1317.6524054964,2.0183996578298253
44,male,27.4,2,no,southwest,7989.786313619474,10386.722207705316,865.560183975443,1.3258780326887418
57,male,34.01,0,no,northwest,12019.534420893251,15625.394747161226,1302.1162289301021,1.9946011102503631
29,female,29.59,1,no,southeast,5545.210264567146,7208.77334393729,600.7311119947741,0.9202089001926052
21,male,35.53,0,no,southeast,4193.425339658548,5451.452941556113,454.28774512967607,0.6958847610349742
22,female,39.805,0,no,northeast,5472.368375623414,7114.078888310439,592.8399073592033,0.9081210349332531
41,female,32.965,0,no,northwest,8052.868241102135,10468.728713432774,872.3940594527312,1.3363462653330056
31,male,26.885,1,no,northeast,5933.9698276338195,7714.160775923966,642.8467313269972,0.9847222356480401
45,female,38.285,0,no,northeast,10228.46751572297,13297.007770439863,1108.0839808699886,1.6973796112732147
22,male,37.62,1,yes,southeast,21227.769309458377,27596.10010229589,2299.6750085246576,3.522676565506905
48,female,41.23,4,no,northwest,14797.290954653914,19236.47824105009,1603.0398534208407,2.4555604180096786
37,female,34.8,2,yes,southwest,34468.065500565215,44808.485150734785,3734.0404292278986,5.719858965261015
45,male,22.895,2,yes,northwest,37741.18741219845,49063.54363585799,4088.628636321499,6.263022483107429
57,female,31.16,0,yes,northwest,54656.1751450208,71053.02768852704,5921.085640710587,9.070007523485673
56,female,27.2,0,no,southwest,10271.57419391001,13353.046452083014,1112.7538710069177,1.7045330188146597
46,female,27.74,0,no,northwest,8611.83192322011,11195.381500186144,932.9484583488453,1.4291043990427545
55,female,26.98,0,no,northwest,10974.332295731472,14266.631984450914,1188.8859987042429,1.821153350438649
21,female,39.49,0,no,southeast,4727.561775258955,6145.830307836642,512.1525256530534,0.7845228971030239
53,female,24.795,1,no,northwest,10830.735197778657,14079.955757112253,1173.329646426021,1.7973238974019705
59,male,29.83,3,yes,northeast,69942.63208452158,90925.42170987806,7577.118475823172,11.606743383264233
35,male,34.77,2,no,northwest,7584.720438707525,9860.136570319783,821.6780475266486,1.2586587198990986
64,female,31.3,2,yes,southwest,70114.89602768367,91149.36483598877,7595.780402999065,11.635330002367377
28,female,37.62,1,no,southeast,6036.260057033993,7847.138074144191,653.9281728453492,1.0016969534686149
54,female,30.8,3,no,southwest,12746.192436789373,16570.050167826186,1380.8375139855154,2.115187551831602
55,male,38.28,0,no,southeast,11340.92497776801,14743.202471098415,1228.6002059248679,1.8819881669127965
56,male,19.95,0,yes,northeast,44828.7962880896,58277.43517451648,4856.452931209707,7.439187219430236
38,male,19.3,0,yes,southwest,23064.045732793325,29983.259452631322,2498.6049543859435,3.8274004312120344
41,female,31.6,0,no,southwest,7166.564137475494,9316.533378718143,776.3777815598452,1.1892670951082265
30,male,25.46,0,no,northeast,5252.499703352934,6828.249614358815,569.020801196568,0.8716345719420036
18,female,30.115,0,no,northeast,4266.900772473791,5546.971004215929,462.2475836846607,0.7080777607583792
61,female,29.92,3,yes,southeast,70500.61316176364,91650.79711029274,7637.566425857728,11.699338457016099
34,female,27.5,1,no,southwest,5981.634815462185,7776.12526010084,648.0104383417366,0.9926320792670462
20,male,28.025,1,yes,northwest,18653.109882532764,24249.042847292596,2020.7535706077163,3.0954205361439353
19,female,28.4,1,no,southwest,3972.9088145571586,5164.781458924306,430.39845491035885,0.6592907890562246
26,male,30.875,2,no,northwest,5574.611304053684,7246.994695269789,603.9162246058157,0.9250879033177533
29,male,27.94,0,no,southeast,4719.604431049073,6135.485760363796,511.2904800303163,0.7832024027277937
63,male,35.09,0,yes,southeast,60278.50339118311,78362.05440853805,6530.171200711505,10.003013892059633
54,male,33.63,1,no,northwest,11829.929272416139,15378.90805414098,1281.575671178415,1.9631367767397208
55,female,29.7,2,no,southwest,11989.88449909788,15586.849848827243,1298.904154068937,1.9896808059473043
37,male,30.8,0,no,southwest,5938.7418971471725,7720.364466291325,643.3637055242771,0.9855141444538404
21,female,35.72,0,no,northwest,4769.835169212458,6200.785719976196,516.7321433313497,0.7915380239424744
52,male,32.205,3,no,northeast,13380.190511475963,17394.247664918752,1449.5206387432293,2.220397389366431
60,male,28.595,0,no,northeast,12762.680024626137,16591.484032013977,1382.6236693344981,2.1179236113038717
58,male,49.06,0,no,southeast,14360.091986856101,18668.119582912932,1555.676631909411,2.3830087270678075
29,female,27.94,1,yes,southeast,24050.789018707175,31266.02572431933,2605.5021436932775,3.9911471442456654
49,female,27.17,0,no,southeast,8736.826472382305,11357.874414096997,946.4895345080831,1.4498468219855918
37,female,23.37,2,no,northwest,7287.609356924483,9473.892164001829,789.4910136668191,1.2093541401341776
44,male,37.1,2,no,southwest,9158.048671980838,11905.46327357509,992.1219394645908,1.519747222247426
18,male,23.75,0,no,northeast,3658.891253308252,4756.558629300728,396.3798857750607,0.6071806361690687
20,female,28.975,0,no,northwest,4217.711329195643,5483.024727954336,456.91872732952805,0.6999149389102515
44,male,31.35,1,yes,northeast,40429.84801884362,52558.80242449671,4379.900202041393,6.709196622912615
47,female,33.915,3,no,northwest,12056.31372844831,15673.207846982803,1306.1006539152336,2.0007045120224016
26,female,28.785,0,no,northeast,5244.430491491414,6817.759638938838,568.1466365782366,0.8702955135081047
19,female,28.3,0,yes,southwest,16358.072365232787,21265.494074802624,1772.124506233552,2.7145668175410336
52,female,37.4,0,no,southwest,10595.067601190041,13773.587881547055,1147.7989901289213,1.758215656321635
32,female,17.765,2,yes,northwest,25975.31973178093,33767.91565131521,2813.9929709429343,4.310516511027059
38,male,34.7,2,no,southwest,7479.1906748893725,9722.947877356184,810.2456564463487,1.2411464122917208
59,female,26.505,0,no,northeast,12847.841355217119,16702.193761782255,1391.8494801485213,2.13205584626398
61,female,22.04,0,no,northeast,12763.703420544962,16592.81444670845,1382.7345372257041,2.1180934403974483
53,female,35.9,2,no,southwest,12367.14493707707,16077.28841820019,1339.7740348500158,2.0522859004623473
19,male,25.555,0,no,northwest,3665.168739419097,4764.719361244826,397.0599467704022,0.6082223637708057
20,female,28.785,0,no,northeast,4430.106690113474,5759.138697147516,479.928224762293,0.7351612311428626
22,female,28.05,0,no,southeast,4139.538381665684,5381.39989616539,448.4499913471158,0.6869424024978792
19,male,34.1,0,no,southwest,3749.7755448753555,4874.708208337963,406.2256840281636,0.6222625771591416
22,male,25.175,0,no,northwest,3966.5617283192587,5156.530246815037,429.7108539012531,0.6582375115486563
54,female,31.9,3,no,southeast,13412.191254131672,17435.848630371176,1452.9873858642648,2.2257078044453182
22,female,36.0,0,no,southwest,4468.161658622238,5808.61015620891,484.05084635074246,0.7414763245383423
34,male,22.42,2,no,northeast,6527.761895898032,8486.090464667443,707.1742053889535,1.0832600223162894
26,male,32.49,1,no,northeast,5578.561337773302,7252.129739105292,604.344144925441,0.9257433980621237
34,male,25.3,2,yes,southeast,26931.148139169436,35010.49258092027,2917.5410484100225,4.469133004463937
29,male,29.735,2,no,northwest,5968.85698497362,7759.514080465706,646.6261733721421,0.9905116414874613
30,male,28.69,3,yes,northwest,28911.55923402187,37585.02700422843,3132.0855836857027,4.797775531721764
29,female,38.83,3,no,southeast,7319.678047636303,9515.581461927193,792.9651218272661,1.214675830963307
46,male,30.495,3,yes,northwest,46507.672489736164,60459.97423665701,5038.3311863880845,7.7177910503703275
51,female,37.73,1,no,southeast,11544.167494936755,15007.417743417782,1250.6181452848152,1.9157155756625215
53,female,37.43,1,no,northwest,12937.751576555696,16819.077049522406,1401.589754126867,2.146976143592057
19,male,28.4,1,no,southwest,3725.9431112676825,4843.726044647988,403.643837053999,0.6183076653573
35,male,24.13,1,no,northwest,6065.546152742602,7885.209998565383,657.1008332137819,1.006556882062334
48,male,29.7,0,no,southeast,8255.166021446707,10731.715827880718,894.3096523233932,1.3699168982000383
32,female,37.145,3,no,northeast,8714.409803855504,11328.732745012156,944.0610620843463,1.4461268516135324
42,female,23.37,0,yes,northeast,33832.14904155292,43981.7937540188,3665.1494795015665,5.614330778331612
40,female,25.46,1,no,northeast,7987.981838523381,10384.376390080395,865.3646991733663,1.3255785861458018
44,male,39.52,0,no,northwest,9010.976747311137,11714.269771504478,976.1891476253732,1.4953411334622464
48,male,24.42,0,yes,southeast,34021.81893561515,44228.364616299696,3685.697051358308,5.6458058561532605
18,male,25.175,0,yes,northeast,16571.02262367983,21542.32941078378,1795.1941175653149,2.7499051931430234
30,male,35.53,0,yes,southeast,23976.626658706566,31169.614656318536,2597.4678880265446,3.978840151277712
50,female,27.83,3,no,southeast,11318.154298473875,14713.60058801604,1226.13338233467,1.87820944965048
42,female,26.6,0,yes,northwest,33617.61487016719,43702.89933121735,3641.9082776014457,5.578729557731188
18,female,36.85,0,yes,southeast,18584.7818863364,24160.21645223732,2013.3513710197767,3.084081736128725
54,male,39.6,1,no,southwest,11672.395348793336,15174.113953431337,1264.509496119278,1.936994554590588
32,female,29.8,2,no,southwest,6287.8683332450955,8174.2288332186245,681.185736101552,1.0434504964516509
37,male,29.64,0,no,northwest,6440.3000062422225,8372.39000811489,697.6991673429075,1.0687460173554293
47,male,28.215,4,no,northeast,11832.359570768298,15382.067441998788,1281.838953499899,1.963540076536677
20,female,37.0,5,no,southwest,6195.879260228894,8054.643038297562,671.2202531914635,1.0281852207143414
32,female,33.155,3,no,northwest,7822.769044461805,10169.599757800346,847.4666464833622,1.2981620814024928
19,female,31.825,1,no,northwest,4595.523221851246,5974.18018840662,497.848349033885,0.7626115454648881
27,male,18.905,3,no,northeast,5493.480731427874,7141.5249508562365,595.1270792380197,0.9116245590177116
63,male,41.47,0,no,southeast,14854.287755362198,19310.57408197086,1609.2145068309048,2.4650188444339043
49,male,30.3,0,no,southwest,8264.33107679107,10743.630399828391,895.3025333190326,1.3714378081558845
18,male,15.96,0,no,northeast,3279.0797036184913,4262.803614704038,355.23363455866985,0.5441521932885991
35,female,34.8,1,no,southwest,6817.694072608335,8863.002294390835,738.5835245325696,1.131373287049608
24,female,33.345,0,no,northwest,5019.194250236934,6524.952525308015,543.7460437756679,0.8329183205867322
63,female,37.7,0,yes,southwest,64355.24847003777,83661.8230110491,6971.818584254092,10.679535958201933
38,male,27.835,2,no,northwest,7485.283305210977,9730.868296774272,810.905691397856,1.2421574637000594
54,male,29.2,1,no,southwest,10083.589313217019,13108.666107182125,1092.3888422651771,1.6733375632661696
46,female,28.9,2,no,southwest,9204.510817349861,11965.86406255482,997.1553385462349,1.527457458225999
41,female,33.155,3,no,northeast,10611.700387953104,13795.210504339035,1149.6008753615863,1.7609758110649412
58,male,28.595,0,no,northwest,11455.540447887139,14892.202582253281,1241.01688185444,1.9010082167704756
18,female,38.28,0,no,southeast,4271.711763147125,5553.225292091262,462.76877434093853,0.7088761283991221
22,male,19.95,3,no,northeast,4843.535825068718,6296.596572589333,524.7163810491111,0.8037683986682661
44,female,26.41,0,no,northwest,7989.895299909671,10386.863889882572,865.5719908235477,1.3258961185952185
44,male,30.69,2,no,southeast,8670.327612339082,11271.425896040808,939.285491336734,1.4388115609323822
36,male,41.895,3,yes,northeast,43404.77678702098,56426.209823127276,4702.184151927273,7.202875996516949
26,female,29.92,2,no,southeast,5512.526349815348,7166.284254759953,597.1903545633294,0.9147851150135433
30,female,30.9,3,no,southwest,6499.124938599794,8448.862420179734,704.0718683483111,1.0785078160476365
41,female,32.2,1,no,southwest,7781.0005825915405,10115.300757369003,842.9417297807503,1.2912307463355488
29,female,32.11,2,no,northwest,6580.743941271808,8554.96712365335,712.9139269711126,1.0920522136629167
61,male,31.57,0,no,southeast,12216.139520165205,15880.981376214766,1323.4151146845638,2.027227061935069
36,female,26.2,0,no,southwest,5770.938318468264,7502.219814008743,625.1849845007285,0.9576677077603248
25,male,25.74,0,no,southeast,4088.9078555273904,5315.580212185608,442.965017682134,0.6785404378200747
56,female,26.6,1,no,northwest,12087.283481853934,15713.468526410115,1309.4557105341762,2.0058438379200556
18,male,34.43,0,no,southeast,3794.9473258664943,4933.431523626443,411.1192936355369,0.6297586815307297
19,male,30.59,0,no,northwest,3934.216271261424,5114.481152639852,426.20676271998764,0.6528698922798961
39,female,32.8,0,no,southwest,6889.933645637136,8956.913739328276,746.4094782773564,1.1433612000187487
45,female,28.6,2,no,southeast,9233.191465033784,12003.14890454392,1000.2624087119933,1.5322169147664797
51,female,18.05,0,no,northwest,8648.862375381706,11243.52108799622,936.9600906663517,1.435249477413361
64,female,39.33,0,no,northeast,17711.774496415757,23025.306845340485,1918.7755704450403,2.9392091105996005
19,female,32.11,0,no,northwest,4285.662141012712,5571.360783316525,464.2800652763771,0.7111911464526287
48,female,32.23,1,no,southeast,9820.081704463828,12766.106215802976,1063.842184650248,1.62960936626838
60,female,24.035,0,no,northwest,12118.644399851593,15754.237719807072,1312.853143317256,2.011048076259593
27,female,36.08,0,yes,southeast,23679.849006649416,30783.803708644242,2565.3169757203536,3.9295909030487866
46,male,22.3,0,no,southwest,6787.111550352422,8823.245015458147,735.2704179548456,1.1262982208523795
28,female,28.88,1,no,northeast,5980.882195692926,7775.146854400804,647.9289045334003,0.9925071845602471
59,male,26.4,0,no,southeast,10737.837253554853,13959.18842962131,1163.2657024684424,1.78190779755981
35,male,27.74,2,yes,northeast,32120.10100840701,41756.131310929115,3479.6776092440928,5.330222194077399
63,female,31.8,0,no,southwest,13342.63334685433,17345.42335091063,1445.4519459092191,2.2141649048434076
40,male,41.23,1,no,northeast,9352.348122282747,12158.05255896757,1013.1710465806309,1.5519905592788135
20,male,33.0,1,no,southwest,4088.430464600478,5314.959603980622,442.9133003317185,0.6784612164093695
40,male,30.875,4,no,northwest,9579.167161785956,12452.917310321744,1037.7431091934786,1.58963041221959
24,male,28.5,2,no,northwest,5096.536043492077,6625.4968565397,552.1247380449751,0.8457529297565604
34,female,26.73,1,no,southeast,6130.745826735824,7969.969574756572,664.1641312297144,1.017376547581889
45,female,30.9,2,no,southwest,9204.6408812864,11966.03314567232,997.1694288060266,1.527479041896642
41,female,37.1,2,no,southwest,8974.975068398999,11667.467588918698,972.2889657432248,1.4893667765350593
53,female,26.6,0,no,northwest,10318.77697935211,13414.410073157742,1117.8675060964786,1.7123661615099426
27,male,23.1,0,no,southeast,4167.779748389612,5418.113672906496,451.50947274220795,0.6916289618478502
26,female,29.92,1,no,southeast,5120.2630245131295,6656.3419318670685,554.6951609889223,0.8496903420580898
24,female,23.21,0,no,southeast,4090.7898755937904,5318.026838271928,443.1689031893273,0.6788527526887297
34,female,33.7,1,no,southwest,6526.831425409369,8484.88085303218,707.0734044193483,1.0831056138837534
53,female,33.25,0,no,northeast,11933.243745649035,15513.216869343747,1292.7680724453123,1.9802814643623177
32,male,30.8,3,no,southwest,6438.7201515348,8370.33619699524,697.52801641627,1.0684838458067558
19,male,34.8,0,yes,southwest,16810.292574428502,21853.380346757054,1821.115028896421,2.7896112327200027
42,male,24.64,0,yes,southeast,28828.20478013153,37476.66621417099,3123.0555178475825,4.783943141842753
55,male,33.88,3,no,southeast,13302.686141647984,17293.49198414238,1441.124332011865,2.207535801163861
28,male,38.06,0,no,southeast,5290.851746162483,6878.107270011228,573.175605834269,0.8779989638135658
58,female,41.91,0,no,southeast,13846.580099861865,18000.554129820426,1500.0461774850355,2.2977931651284837
41,female,31.635,1,no,northeast,8961.502741497421,11649.953563946649,970.8294636622207,1.4871310894231833
47,male,25.46,2,no,northeast,9820.221227849841,12766.287596204793,1063.8572996837327,1.6296325197026897
42,female,36.195,1,no,northwest,9331.653111064175,12131.149044383428,1010.9290870319523,1.5485562921177283
59,female,27.83,3,no,southeast,14578.130470895007,18951.56961216351,1579.2974676802924,2.419191476508196
19,female,17.8,0,no,southwest,3178.9473430101334,4132.631545913174,344.38596215943113,0.5275355665002732
59,male,27.5,1,no,southwest,11331.780034191792,14731.31404444933,1227.6095037041107,1.8804705944368945
39,male,24.51,2,no,northwest,7346.9358634195605,9551.01662244543,795.9180518704525,1.2191991733591472
40,female,22.22,2,yes,southeast,32553.099535754198,42319.02939648046,3526.585783040038,5.402076836124281
18,female,26.73,0,no,southeast,3631.035611495518,4720.346294944174,393.3621912453478,0.6025580865643323
31,male,38.39,2,no,southeast,6703.487564820443,8714.533834266576,726.211152855548,1.1124211031084754
19,male,29.07,0,yes,northwest,17094.793176721625,22223.231129738113,1851.9359274781762,2.8368231460379056
44,male,38.06,1,no,southeast,8933.227523291569,11613.19578027904,967.7663150232534,1.4824389125342075
23,female,36.67,2,yes,northeast,27710.477166532757,36023.62031649258,3001.968359707715,4.598460022366323
33,female,22.135,1,no,northeast,6260.699763399735,8138.9096924196565,678.2424743683047,1.038941964117547
55,female,26.8,1,no,southwest,10691.468430905614,13898.908960177298,1158.2424133481081,1.7742130481711478
40,male,35.3,3,no,southwest,8590.275860325963,11167.358618423752,930.6132182019793,1.4255272432665245
63,female,27.74,0,yes,northeast,64941.924906451924,84424.50237838751,7035.375198198959,10.776892929816016
54,male,30.02,0,no,northwest,10443.987641954416,13577.18393454074,1131.4319945450618,1.7331444477476872
60,female,38.06,0,no,southeast,13875.43990995174,18038.071882937264,1503.1726569114387,2.30258235306465
24,male,35.86,0,no,southeast,4583.817475250956,5958.962717826243,496.5802264855202,0.7606690163828413
19,male,20.9,1,no,southwest,3352.8229011044227,4358.66977143575,363.22248095297914,0.556389627654041
29,male,28.975,1,no,northeast,5776.800279792088,7509.840363729715,625.8200303108096,0.9586404804281596
18,male,17.29,2,yes,northeast,17190.48535040311,22347.630955524044,1862.3025796270038,2.85270293881387
63,female,32.2,2,yes,southwest,69039.13514134799,89750.87568375238,7479.239640312699,11.456811119429679
54,male,34.21,2,yes,southeast,53576.7274132905,69649.74563727765,5804.145469773138,8.890876821016542
27,male,30.3,3,no,southwest,5554.8762163242955,7221.339081221584,601.7782567684653,0.9218129322150871
50,male,31.825,0,yes,northeast,44753.822799351685,58179.96963915719,4848.330803263099,7.426745622390001
55,female,25.365,3,no,northeast,14098.853463820415,18328.50950296654,1527.3757919138782,2.339657077175164
56,male,33.63,0,yes,northwest,51599.40971140593,67079.23262482771,5589.936052068976,8.562747631865841
38,female,40.15,0,no,southeast,7696.766049146747,10005.795863890771,833.8163219908976,1.277252310229209
51,male,24.415,4,no,northwest,11918.206402925733,15493.668323803453,1291.139026983621,1.977786068164693
19,male,31.92,0,yes,northwest,17794.163669940906,23132.41277092318,1927.7010642435982,2.9528813154647255
58,female,25.2,0,no,southwest,10564.401433798592,13733.72186393817,1144.4768219948476,1.7531267094968905
20,female,26.84,1,yes,southeast,18385.778229431675,23901.51169826118,1991.792641521765,3.051057751912159
52,male,24.32,3,yes,northeast,53159.05523326699,69106.77180324709,5758.897650270591,8.82156553450386
19,male,36.955,0,yes,northwest,19100.372512416947,24830.484266142033,2069.207022178503,3.169642257793133
53,female,38.06,3,no,southeast,14220.79285140803,18487.03070683044,1540.58589223587,2.359892506381367
46,male,42.35,3,yes,southeast,51648.587548371666,67143.16381288317,5595.263651073597,8.570908527685654
40,male,19.8,1,yes,southeast,27407.86242617374,35630.221154025865,2969.185096168822,4.5482421290634845
59,female,32.395,3,no,northeast,17417.818594684817,22643.164173090263,1886.930347757522,2.890428122299589
45,male,30.2,1,no,southwest,7939.607030009105,10321.489139011837,860.1240949176531,1.317550950183214
49,male,25.84,1,no,northeast,9700.916004608098,12611.190805990527,1050.9325671658773,1.6098342211660177
18,male,29.37,1,no,southeast,3804.9342037395977,4946.414464861477,412.2012054051231,0.6314159701574007
50,male,34.2,2,yes,southwest,46202.003087923906,60062.604014301076,5005.217001191756,7.6670662463243
41,male,37.05,2,no,northwest,9271.600502152918,12053.080652798793,1004.4233877332327,1.5385907646510728
50,male,27.455,1,no,northeast,10206.91620410197,13268.99106533256,1105.74925544438,1.693803243954704
25,male,27.55,0,no,northwest,4462.392151815887,5801.109797360653,483.42581644672106,0.7405188943851791
47,female,26.6,2,no,northeast,10640.429075903778,13832.557798674912,1152.713149889576,1.7657432397253094
19,male,20.615,2,no,northwest,3963.0266228843884,5151.9346097497055,429.3278841458088,0.6576508727506519
22,female,24.3,0,no,southwest,3790.0150371221057,4927.019548258738,410.5849623548948,0.6289401848850916
59,male,31.79,2,no,southeast,13426.628336338426,17454.616837239955,1454.5514031033297,2.2281035894391454
51,female,21.56,1,no,southeast,9195.23036612404,11953.799475961252,996.1499563301044,1.5259173987136714
40,female,28.12,1,yes,northeast,36811.44170985635,47854.874222813254,3987.906185234438,6.108734326411569
54,male,40.565,3,yes,northeast,70674.63344357893,91877.02347665261,7656.418623054385,11.72821653458219
